"Name","birth_year","death_year","religion_1_quaker"
William Eassie,1832,1888,NA
Joseph William Eastwood,1828,1916,NA
Alexander Ecker,1816,1887,NA
Conrad Eckhard,1822,1905,NA
Casper W Eddy,NA,NA,NA
Thomas Edmonston,NA,NA,NA
J  Passmore Edwards,1823,1911,NA
John Edwards,NA,NA,NA
William Edwards-Schneegans,NA,NA,NA
Charles William Eeles,NA,NA,NA
Francis Egerton,1800,1857,NA
George Granville Francis Egerton,1823,1862,NA
x Egypt,1822,1863,NA
John Elder,1824,1869,NA
x Eliot,NA,NA,NA
John Ellerton,1840,1923,NA
Walter Elliot,1803,1887,NA
J H Elliott,NA,NA,NA
C H  Fairfax Ellis,NA,NA,NA
James Ellis,NA,NA,NA
Jonathan W Elmes,NA,NA,NA
John Elphinstone,NA,1854,NA
Mountstuart Elphinstone,1779,1859,NA
Joel Emanuel,NA,NA,NA
Jacob Epstein,NA,NA,NA
John E Erichsen,1818,1896,NA
Victor Erlanger,1840,1894,NA
William Erle,1793,1880,NA
Adolf Ernst,1832,1899,NA
Kennedy Erskine,1828,1870,NA
x Euclide,NA,NA,NA
William Euing,1788,1874,NA
Edward Bickerton Evans,1819,1893,NA
John Evans,1823,1908,NA
Richard Tonson Evanson,1800,1871,NA
William Ewart,1798,1869,NA
Arthur B Ewen,1838,NA,NA
Edward John Eyre,1815,1901,NA
William Fairbairn,1789,1874,NA
R W Fairbank,1839,1890,NA
Edmund Farmer,NA,NA,NA
x Farquharson,NA,NA,NA
Adam Storey Farrar,1826,1905,NA
J G Faught,NA,NA,NA
Adolphe Duchart Fauvet,NA,NA,NA
Frederick Fearon,1826,NA,NA
W S Featherstone,NA,NA,NA
Alexis Fedschenko,1844,1873,NA
George Edgeworth Fenwick,1825,1894,NA
William Ferguson,1820,1887,NA
John Fergusson,NA,NA,NA
Leopold Ferny,NA,NA,NA
Alexander Fiddes,NA,1870,NA
Edwin Foxton Firby,NA,NA,NA
Frederick Firebrace,NA,1917,NA
James Firm,NA,NA,NA
James (1) Fischer,1832,1873,NA
