"Source","Target","first_year","last_year"
Charles Booth,Athenaeum Club,,
Charles Booth,London,,
Charles Booth,country,,
W W Boreham,ASL,,
W W Boreham,Royal Astronomical Society,,
Cunningham Borthwick,AI,,
Cunningham Borthwick,ASL,,
Cunningham Borthwick,London,,
Cunningham Borthwick,Society of Antiquaries,,
Cunningham Borthwick,aristocracy,,
Cunningham Borthwick,political,,
Joseph Bosworth,ASL,,
Joseph Bosworth,Royal Institute of the Netherlands,,
Joseph Bosworth,Royal Society,,
Joseph Bosworth,Society of Antiquaries of Literature,,
Joseph Bosworth,academic,,
Joseph Bosworth,church,,
Joseph Bosworth,country,,
Beriah Botfield,Athenaeum Club,,
Beriah Botfield,British Archaeological Association,,
Beriah Botfield,ESL,,
Beriah Botfield,London,,
Beriah Botfield,Royal Society,,
Beriah Botfield,"Society for the Encouragement of Arts, Manufactures and Commerce",,
Beriah Botfield,Society of Antiquaries,,
Beriah Botfield,political,,
x Boucher de Crevecoeur de Perthes,ASL,,
x Boucher de Crevecoeur de Perthes,Anthropological Society of Paris,,
x Boucher de Crevecoeur de Perthes,ESL,,
x Boucher de Crevecoeur de Perthes,France,,
x Boucher de Crevecoeur de Perthes,Geological Society,,
x Boucher de Crevecoeur de Perthes,academic,,
x Boudin,ASL,,
x Boudin,ESL,,
x Boudin,France,,
x Boudin,medical,,
George Boulton,ASL,,
George Boulton,London,,
George Boulton,"Royal Society for the Encouragement of Arts, Manufactures and Commerce",,
Brasseur de Bourbourg,ASL,,
Brasseur de Bourbourg,France,,
Brasseur de Bourbourg,archaeologist,,
Brasseur de Bourbourg,ethnographer,,
Brasseur de Bourbourg,historian,,
Brasseur de Bourbourg,literary,,
x Bourien,ESL,,
x Bourien,church,,
Philip Bourjeaurd,ESL,,
Philip Bourjeaurd,London,,
Philip Bourjeaurd,inventor,,
Philip Bourjeaurd,medical,,
Sydney Edward Bouverie Bouverie-Pusey,AI,,
Sydney Edward Bouverie Bouverie-Pusey,ASL,,
Sydney Edward Bouverie Bouverie-Pusey,Athenaeum Club,,
Sydney Edward Bouverie Bouverie-Pusey,ESL,,
Sydney Edward Bouverie Bouverie-Pusey,Folklore Society,,
Sydney Edward Bouverie Bouverie-Pusey,London,,
Sydney Edward Bouverie Bouverie-Pusey,Royal Geographical Society,,
Sydney Edward Bouverie Bouverie-Pusey,country,,
Sydney Edward Bouverie Bouverie-Pusey,literary,,
Frederick Bower,ESL,,
Robert Bowie,ESL,,
Thomas William Bowman,ASL,,
Thomas William Bowman,Royal Society of Literature,,
Thomas William Bowman,academic,,
Thomas William Bowman,country,,
John Bowring,Athenaeum Club,,
John Bowring,ESL,,
John Bowring,"Society for the Encouragement of Arts, Manufactures and Commerce",,
John Bowring,administrative,,
John Bowring,country,,
John Bowring,political,,
William Henry Wentworth Bowyer,ASL,,
William Henry Wentworth Bowyer,London,,
William Henry Wentworth Bowyer,church,,
William Boxall,Athenaeum Club,,
William Boxall,ESL,,
William Boxall,artist,,
William Boxall,museum work,,
William Binnington Boyce,ASL,,
William Binnington Boyce,London,,
William Binnington Boyce,Royal Geographical Society,,
William Binnington Boyce,Weslyan Mission Society,,
William Binnington Boyce,church,,
Jacob Boys,AI,,
Jacob Boys,ASL,,
Jacob Boys,country,,
Jacob Boys,legal,,
Edward William Brabrook,AI,,
Edward William Brabrook,ASL,,
Edward William Brabrook,Anthropological Society of Paris,,
Edward William Brabrook,Athenaeum Club,,
Edward William Brabrook,Colquehoun Club,,
Edward William Brabrook,Folklore Society,,
Edward William Brabrook,London,,
Edward William Brabrook,London and Middlesex Archaeological Association,,
Edward William Brabrook,Royal Society of Literature,,
Edward William Brabrook,Royal Society of Northern Antiquities Copenhagen,,
Edward William Brabrook,Society of Antiquaries,,
Edward William Brabrook,Statistical Society,,
Edward William Brabrook,civil service,,
Edward William Brabrook,legal,,
Frederick Braby,AI,,
Frederick Braby,ASL,,
Frederick Braby,Chemical Society,,
Frederick Braby,Geological Society,,
Frederick Braby,London,,
Frederick Braby,"Society for the Encouragement of Arts, Manufactures and Commerce",,
Frederick Braby,ironmaker,,
Charles Holt Bracebridge,AI,,
Charles Holt Bracebridge,Athenaeum Club,,
Charles Holt Bracebridge,ESL,,
