"Source","Target"
Henry Tuckett,APS
P E Tuckett,APS
J W Tuke,APS
x Tyler,APS
Jan Tzatzoe,APS
x Upcher,APS
x Vanderkamp,APS
M Villerme,APS
x Wainwright,APS
Joseph Waite,APS
Josiah Waites,APS
E Walker,APS
R Walker,APS
x Walker,APS
x Waring,APS
Harriett Warner,APS
Henrietta Warner,APS
M Warner,APS
C Washbourne,APS
John Washington,APS
x Weaver,APS
A Wells,APS
Frederick Wells,APS
Mary Wheeler,APS
J Whitby,APS
Anthony White,APS
x Whiting,APS
S Wilkin,APS
M Wilks,APS
John Williams,APS
H H Willis,APS
Frederick Wills,APS
H O Wills,APS
x Wills,APS
Joseph R Wilton,APS
R W Wingfield,APS
x Wiseman,APS
William Wolston,APS
Joseph Wontner,APS
Thomas Wontner,APS
Levi Wood,APS
Levi Wood (2),APS
S F Woolmer,APS
A B Wright,APS
Frances Wright,APS
P Wright,APS
W D D Wright,APS
x Wright (2),APS
x Wright,APS
W Wrigley,APS
James Yates,APS
John Young,APS
Thomas Zachary,APS
